True_Label,Predicted_Label,Confidence
NORMAL,NORMAL,0.8967789088912488
NORMAL,NORMAL,0.9002093201584982
NORMAL,NORMAL,0.898058764181735
NORMAL,NORMAL,0.8942444370726026
NORMAL,NORMAL,0.9045357777069802
NORMAL,NORMAL,0.8901576956162702
NORMAL,NORMAL,0.9096135072149437
NORMAL,BERAT,0.014851318189866803
NORMAL,NORMAL,0.9322211436008316
NORMAL,NORMAL,0.9309022417864581
NORMAL,NORMAL,0.9263062548819976
NORMAL,NORMAL,0.8836410141942672
NORMAL,NORMAL,0.9047564016674454
NORMAL,NORMAL,0.8934556489850038
NORMAL,NORMAL,0.918146105460488
NORMAL,NORMAL,0.8845555635251623
NORMAL,NORMAL,0.9345277589276956
NORMAL,NORMAL,0.9006965035411965
NORMAL,NORMAL,0.8852545094769225
NORMAL,NORMAL,0.8928012247525965
NORMAL,NORMAL,0.9003103492264981
NORMAL,NORMAL,0.9608399178396033
NORMAL,NORMAL,0.8874433067500662
NORMAL,NORMAL,0.8808607253350393
NORMAL,NORMAL,0.893909460490704
NORMAL,NORMAL,0.8862510651623428
NORMAL,NORMAL,0.9038741612758996
NORMAL,NORMAL,0.9271468205583315
NORMAL,NORMAL,0.8976671230007747
NORMAL,NORMAL,0.894278612842021
NORMAL,NORMAL,0.8956042109491289
NORMAL,NORMAL,0.9074565474173386
NORMAL,NORMAL,0.9110741129824889
NORMAL,NORMAL,0.9078266517651323
NORMAL,NORMAL,0.8923369790911231
NORMAL,NORMAL,0.8986961760912302
NORMAL,NORMAL,0.9663431835494198
NORMAL,NORMAL,0.8801791376301096
NORMAL,NORMAL,0.923625868971293
NORMAL,NORMAL,0.9319847301418256
NORMAL,NORMAL,0.9057736903634073
NORMAL,NORMAL,0.9231144233049093
NORMAL,NORMAL,0.9093562952653824
NORMAL,NORMAL,0.9317638429599941
NORMAL,NORMAL,0.9072147956888189
NORMAL,NORMAL,0.9090965714123262
NORMAL,NORMAL,0.9076623671376074
NORMAL,NORMAL,0.8858702263875895
NORMAL,NORMAL,0.8915666074075683
NORMAL,NORMAL,0.8892288915364364
NORMAL,NORMAL,0.8928207980723794
NORMAL,NORMAL,0.913038621462239
NORMAL,NORMAL,0.9068174633031826
NORMAL,NORMAL,0.8856145484300093
NORMAL,NORMAL,0.8983499255207732
NORMAL,NORMAL,0.9294288211588635
NORMAL,NORMAL,0.944868225711936
NORMAL,NORMAL,0.8968367533298285
NORMAL,NORMAL,0.8855657007686089
NORMAL,NORMAL,0.8900160746734105
NORMAL,NORMAL,0.9038756510258008
NORMAL,NORMAL,0.9372814411454704
NORMAL,NORMAL,0.8982000237290868
NORMAL,NORMAL,0.9425252710781147
NORMAL,NORMAL,0.9106701378649438
NORMAL,NORMAL,0.8984216436059778
NORMAL,NORMAL,0.8813425320495633
NORMAL,NORMAL,0.9049431078803667
NORMAL,NORMAL,0.898448162765511
NORMAL,NORMAL,0.8803072644442762
NORMAL,NORMAL,0.9207124650336633
NORMAL,NORMAL,0.9324799310906067
NORMAL,NORMAL,0.8846599993113027
NORMAL,NORMAL,0.9063671266565451
NORMAL,NORMAL,0.932405471730499
NORMAL,NORMAL,0.8941781382923242
NORMAL,NORMAL,0.9020941717631686
NORMAL,NORMAL,0.9018363414334605
NORMAL,NORMAL,0.9074811845682463
NORMAL,NORMAL,0.9519287086329526
NORMAL,NORMAL,0.946225044264554
NORMAL,NORMAL,0.8940866763036431
NORMAL,NORMAL,0.8901728702429237
NORMAL,NORMAL,0.9023640256135532
NORMAL,NORMAL,0.8908755642529506
NORMAL,NORMAL,0.9526782635782032
NORMAL,NORMAL,0.9067405748506168
NORMAL,NORMAL,0.9382686275509731
NORMAL,NORMAL,0.9541639742111392
NORMAL,NORMAL,0.9058034232644826
NORMAL,NORMAL,0.8938134122883468
NORMAL,NORMAL,0.8987890098285467
NORMAL,NORMAL,0.901373931078412
NORMAL,NORMAL,0.8882370662405246
NORMAL,NORMAL,0.8980217705184743
NORMAL,NORMAL,0.9085450322666278
NORMAL,BERAT,0.027742666866809262
NORMAL,NORMAL,0.9326971737674483
NORMAL,NORMAL,0.8868459165753758
NORMAL,NORMAL,0.9079695564513472
